	R935_vitro_1	R935_vitro_2	R935_col_1	R935_col_2	R935_vitro_3	R935_col_3
cds167	11	5	0	0	16	0
cds1670	20	23	31	12	36	43
cds1671	46	31	82	59	81	175
cds1672	12	16	23	36	31	101
cds1673	198	188	1012	813	358	2137
cds1674	26	47	186	51	116	231
cds1675	7	8	27	17	44	142
cds1676	2	0	26	0	6	0
cds1677	300	244	670	200	429	392
cds1678	1177	1049	1214	506	2428	1967
cds1679	254	203	222	54	403	287
cds168	150	131	21	11	274	163
cds1680	24	30	187	204	66	297
cds1681	90	67	50	10	112	112
cds1682	19	6	32	14	25	38
cds1683	12	12	26	11	28	27
cds1684	5	2	0	0	14	26
cds1685	1	4	56	47	8	126
cds1686	79	90	310	226	245	892
cds1687	3	3	21	22	15	46
cds1688	1	3	0	0	3	8
cds1689	1	3	24	7	12	13
cds169	712	641	249	79	1759	573
cds1690	0	0	17	11	9	67
cds1691	5	12	200	141	19	490
cds1692	2	1	41	68	15	291
cds1693	1	4	72	61	6	221
cds1694	0	3	17	23	9	143
cds1695	0	1	0	0	0	25
cds1696	3	7	30	65	21	142
cds1697	6	2	0	3	7	24
cds1698	0	0	14	0	0	1
cds1699	0	0	0	0	0	11
cds17	0	0	0	0	0	10
cds170	1116	1214	215	143	1829	1094
cds1700	0	0	0	10	0	30
cds1701	0	0	0	7	0	0
cds1702	0	2	25	0	0	75
cds1703	0	0	0	4	1	30
cds1704	1	1	18	7	0	15
cds1705	0	0	0	7	1	15
cds1706	0	0	0	11	0	0
cds1707	0	0	0	5	0	14
cds1708	0	0	0	1	1	0
cds1709	0	0	21	9	3	8
cds171	199	268	51	13	337	139
cds1710	0	0	0	11	0	13
cds1711	0	0	0	1	0	25
cds1712	0	3	0	0	2	7
cds1713	0	0	0	0	1	36
cds1714	0	0	17	0	0	2
cds1715	0	0	0	21	0	0
cds1716	0	0	20	16	0	56
cds1717	0	0	0	0	0	34
cds1718	0	0	0	3	0	10
cds1719	0	0	0	12	0	16
cds172	1780	1738	571	158	2995	1213
